KEGGnum	b14_27	b14_01	b14_02	b14_10	b14_20	b14_21	b14_24
K00005	NA	NA	NA	9773.54	6436.41	12029.1	13718.8
K00008	53554.8	209738.4	76401.7	300345.3	183021	84340.4	106211.6
K00012	10952.5	6299.2	8050.77	NA	6894.93	NA	7397.71
K00013	NA	NA	4894.14	NA	NA	4776.7	4773.48
K00024	131170	91849	135865.7	61443	64549.2	158622	240073.5
K00027	7501.4	40790	48511.9	73746.09	31297.1	33886.1	28496.79
K00029	59840.8	78621.1	124746	9489.65	38601.7	4277.57	16228.4
K00031	38226.85	19355.74	82063.38	NA	NA	NA	17302.5
K00040	48573.4	88672.7	57965.1	47739.6	59841.3	44077.5	44251.6
K00048	92393.4	272268	176466	168835	322424	5903.12	160652
K00052	NA	27130	35887.6	NA	16330.8	NA	NA
K00053	168939	191855.78	195083.4	256464.09	205027.3	7791.81	245107
K00059	76210.5	30793.4	40865.4	25035.3	38909	60359.5	76532.1
K00067	18196.5	30011.6	30004.1	36134.9	37237.1	NA	33619.9
K00088	565331.6	1588019.2	1051744.89	1287072.2	814296.1	425648.23	843586.7
K00128	3962.46	NA	8803.21	NA	4138.11	NA	NA
K00133	81274.4	169509.8	131089.1	162058.6	78337	45403.1	97011.5
K00134	538436.41	895609.58	672738.14	180142.7	609114.78	13717.48	362275.11
K00175	4055.58	20056.05	19501.3	NA	NA	1454.87	NA
K00208	19655.4	45261.3	82211.7	24834	69968.9	NA	18083.1
K00239	448198.9	812144.1	100951.3	376045.9	157695.9	299571.8	322091.4
K00240	92880.4	197688.74	49573.3	109261.57	65433.4	129793.8	127199.27
K00243	NA	9648.46	20583.4	12329.2	12520.2	4481.08	10990.7
K00248	39404.9	58203.2	45416.5	29915.5	35973.2	NA	31859.7
K00262	2476801.5	2411089.75	1728618.01	2618643.13	2534823.29	1098394.07	2267227.87
K00266	105162.7	169686.8	54265.13	208118.07	168124.45	60515.86	80977.4
K00290	87668.2	87113.9	136562	35596.8	87202.5	5267.46	26907.9
K00335	12279.2	42888.1	12714.2	68755.2	29624.4	7318.08	10442.1
K00336	NA	NA	NA	23354.1	NA	NA	NA
K00346	174111.03	191021.5	22724.71	225572.59	21939.42	148799.33	215990.64
K00351	145378.2	308427	168420.1	111783.9	182698.7	129811.7	150360.1
K00525	17241.3	12066.4	NA	NA	NA	NA	8641.29
K00528	NA	2266.45	2038.67	NA	3570.74	NA	NA
K00602	40826.9	29482.6	17267.5	56138.3	33311.3	34764.42	38065.2
K00609	68573.5	64852	38907.6	111571	98137.4	22461.5	53222.2
K00615	1506.61	16507.8	4232.42	25238.64	24466.19	3825.31	13409.98
K00616	118696.3	107882.7	67194.9	123625.8	143536.9	32772.48	101692.2
K00625	208901.1	282413.3	59651.6	542947.8	339467.8	169370.9	237187.4
K00626	9567.76	16543.8	44726.6	13589.6	16071.6	3183.53	10563.4
K00639	NA	NA	NA	7437.87	NA	NA	NA
K00645	NA	NA	NA	NA	NA	2930.79	NA
K00652	12157.1	23691.2	40624	7064.47	11228.2	NA	NA
K00656	1030528.11	602729.65	393356.91	855696.79	582877.02	691564.54	745353.22
K00677	NA	12445.5	15416.9	NA	6814.8	NA	NA
K00688	59115.86	189968.8	221423.6	126155.2	228438.2	47314.42	79136.91
K00705	NA	7594.35	11595	3961.89	14153.6	NA	5664.6
K00761	41589.8	86109.5	23819.9	61275.8	NA	5230.17	19269.1
K00767	7775.52	16252.5	40972.4	NA	15778.06	9644.47	7626.26
K00773	NA	14313.3	27258.4	7589.43	10925.5	NA	6530.37
K00789	36380.4	70622.6	60986.6	64097.9	39844.2	17567.4	13590.8
K00826	117641.58	172824	134257.6	175354.8	102215.2	31128.3	59280.3
K00831	67812.6	78379.6	77044.2	113370.63	68284.4	64216.7	69920.16
K00848	8822.32	64731.2	8248.63	81181.5	43742.5	7382.93	21587.95
K00849	28347.68	34666.5	NA	54242.9	53697.1	2231.22	19088.7
K00850	293581.4	362405.8	429046.7	407567.6	357940	69254	271373
K00854	NA	19898.4	4370.29	25582.1	15006.9	NA	5304.92
K00864	NA	30243.1	NA	17421.8	44098.5	NA	31688.1
K00874	6125.32	61433.8	67909.5	14192.6	72138	9945.22	10800.2
K00878	NA	NA	15614.4	NA	NA	NA	9844.18
K00895	24772.24	192343.2	131792	39065.9	146615.3	14428.6	37641.1
K00925	218547.51	180137.4	137864.2	207527.61	324179.7	114406.85	155300.69
K00927	119503.75	348514.66	284467.64	530756.64	334197.1	113429.88	225516.9
K00939	37874.9	104700.3	352917	170846.7	87656.14	34341.75	51121.57
K00940	NA	NA	NA	NA	9976.4	3577.18	3008.49
K00948	NA	NA	NA	NA	NA	5817.52	NA
K00962	154301.9	211262.4	157864.2	195205.1	179074.82	48732	126126.2
K00973	104517	102101	185676	95178.5	130330	84830.4	114068
K00975	46922.4	49012.3	23961.8	49601.54	49106.6	19425.1	43886.3
K00979	NA	NA	76977.1	NA	NA	NA	21526
K01006	1940972.7	2538919.2	1805076.1	3107172.98	2550748.3	846514.36	1720138.3
K01139	NA	NA	NA	8292.89	NA	NA	NA
K01190	NA	4689.99	NA	29968.95	3933.15	NA	4035.14
K01193	NA	NA	6858.12	13449	4467.93	NA	NA
K01198	NA	7697.47	NA	NA	NA	NA	3833.7
K01201	NA	NA	NA	NA	NA	8943.13	NA
K01222	5820.62	7948.9	10120.3	33466.4	9678.32	30335.9	17051.1
K01270	NA	22489.1	81545.1	NA	32337.6	11624.8	23939.2
K01274	NA	NA	NA	NA	5453.86	NA	NA
K01277	NA	8042.95	15007.9	NA	NA	NA	NA
K01338	NA	22420.1	22474.5	NA	19213.9	NA	21554.3
K01361	10647.4	102901	68029.7	9895.46	33120.6	NA	16148.7
K01421	NA	15930.8	NA	NA	NA	NA	NA
K01428	72397.2	15069.5	67520.5	49790.7	NA	94498.8	71583.6
K01462	5703.09	NA	13197.7	11389.9	9986.93	7204.87	13030.76
K01465	48169.9	NA	48604.8	NA	112864	NA	44239.2
K01478	7133.28	6560.76	6768.8	9173.49	13358.6	NA	6049.56
K01489	NA	NA	NA	NA	8149.7	NA	7592.2
K01491	NA	22336.6	NA	36242.6	22165.8	15859.1	NA
K01523	6245.15	NA	NA	8735.94	NA	NA	NA
K01537	NA	10859.7	7400.54	NA	26661.2	NA	10665
K01571	150799.02	520533	372616	561613	449185	87827.1	302304
K01596	18349.5	18315.3	NA	10095.7	59635.1	7985.55	11320.4
K01604	46411.5	105154	44304.3	77142.9	46412.8	56046.6	91228
K01610	518047.02	1371899.3	2089052.1	1256231.4	1288702.6	896771.4	1466591.8
K01624	800936.8	1577419.3	3128550.1	732502.4	1151286.4	383571.43	796694
K01625	8479.26	16255.6	5985.28	4830.09	NA	10903.7	20290.3
K01639	NA	16097.2	NA	4201.44	NA	7177.79	NA
K01647	NA	NA	6330.89	NA	8447.34	NA	NA
K01652	NA	NA	7003.93	25906	17552.5	20609.13	5699.47
K01653	NA	20862.7	12221.6	42783.55	21074.6	3774.43	14527.3
K01661	NA	56299	54544.1	NA	NA	NA	NA
K01662	NA	9441.64	6276.95	NA	6751.16	NA	NA
K01677	NA	NA	10210.5	NA	10462.8	NA	6749.92
K01681	28746	65369.2	47750.2	70454	84050.4	12361.3	26912.6
K01687	NA	5818.45	NA	12162.1	NA	NA	NA
K01689	107033.9	44394.3	56054.4	79033.3	19384.8	8633.03	67675.6
K01703	NA	19866.2	49137.2	NA	23549.9	NA	NA
K01710	42874.68	57685.6	161739.78	89850	175730.17	48871.9	91483.7
K01711	36154.7	75749.5	158086	30585	72585.5	60052.8	26969.7
K01714	NA	NA	NA	22480	23461.8	16244.5	9330.26
K01715	47581.8	31630.6	117294.7	23346.1	21768.28	13789.9	43309.7
K01733	NA	12642.3	NA	NA	7731.01	NA	NA
K01740	84240.1	52781.1	158528.3	103535	90782.7	78903.56	100276.7
K01755	NA	7458.46	5478.95	7884.33	7444.92	NA	NA
K01756	NA	26331.93	6424.39	39251.54	29132.84	3320.84	3240.12
K01783	NA	8145.95	8604.56	NA	16029.6	NA	NA
K01784	40561.9	109015.58	132044.22	75610.99	81974.28	18245.86	63447.99
K01785	NA	NA	15968.5	NA	7759.46	NA	NA
K01790	17311.9	15720.6	20718.4	13609.1	24351.2	NA	25539
K01803	151120.37	139049.88	249234.97	125165.15	111375.92	125179.4	120455.28
K01804	10565.6	163180.4	38668.72	118497.92	97274.1	52635.6	156300.9
K01805	NA	11967.5	7470.31	NA	NA	NA	12978.8
K01808	6166.19	9288.18	9805.9	10768.9	9537.13	NA	9188.65
K01810	75372.5	59420.6	239260.5	107245.6	150424	78849.59	141872.2
K01812	84780.4	89105.1	80845.3	45093.4	116978	31135.1	90040.6
K01818	385942	370591.8	95090.4	665202.5	469711.5	390639.8	339876.3
K01835	11785.7	44514.69	5214.89	5992.06	21983.91	20250.84	23689.41
K01847	22476.2	45849.3	18371.1	12924	NA	17378.5	27083.1
K01848	44053.5	213858.9	455882	72155.9	258599	39531.5	133692.3
K01854	NA	16771.7	14924.65	16756.4	24763.93	NA	8387.03
K01866	NA	26871.7	36092	NA	27406.4	NA	13635
K01867	NA	21574.2	4278.22	NA	12392.9	9862.42	12367.7
K01868	93399.52	264277	304239.3	100083.43	167554.67	5763.59	47720.21
K01869	41998.4	76127.4	158490.99	35004.07	95152.8	26324.26	58844.4
K01870	4013.05	6325.29	NA	5648.02	7465.75	2917.86	4165.5
K01872	29181.4	69118.3	37688.5	52056.4	71729.9	15160.38	26689.65
K01874	9724.74	14289	7899.97	NA	NA	6342.32	14953.7
K01875	118768.8	234793.7	333936.1	144559.7	200245.6	38676.3	79887.12
K01876	31924	93215.5	199998.9	8559.96	73359.2	9900.08	22912.76
K01880	427145.4	263708	310450.1	306666.6	262362.2	162707.1	254207.3
K01881	NA	32456.9	14215.5	4816.72	33278.5	2674.49	14962.9
K01885	18812.6	46559.6	83184.3	NA	38471.8	NA	NA
K01886	NA	22965.9	37031.7	26963.5	23621.5	7519.66	19736.9
K01887	15962.7	17901.8	NA	20205.1	NA	NA	NA
K01889	NA	66033.4	36725.9	33044.01	35849.9	9696.24	10382.3
K01892	25288.4	16998.5	20428.1	20893.1	20869.2	NA	15577.8
K01893	73142.18	71555.2	104175.1	85790.6	118377.7	31257.7	79699
K01915	663431.8	320697.1	320748.1	393114.6	202682.78	242773	531909.9
K01923	56679.95	90480.7	123525.07	124120.8	114030.2	35793.3	62942.62
K01933	29041.3	32530.4	24010.8	41724.52	66315.3	NA	25129.6
K01937	17388.6	NA	63055	23727.9	25287.2	17544.7	31264
K01938	240274.7	337638.4	117385.7	755992	376732.7	393124.8	236053.9
K01939	15439.3	41201.76	10303.1	48915.52	45390	23152.24	34487
K01940	21254.5	21946.76	17922.6	21940.27	22640.9	NA	15086.7
K01945	31303.5	19675.6	23215	8771.71	20073.2	3404.79	9645.87
K01951	64580.9	83608.68	72521.18	98178.95	75388.5	27335.12	59374
K01952	84683.7	241567.2	152322.8	257132.1	265952.9	105043.2	171142
K01953	24431.5	27560.6	NA	42235.4	NA	NA	6742.93
K01955	95263.32	232042.1	206220.85	127662.2	139054	40097.81	55418.08
K01956	NA	4517.97	NA	NA	NA	2744.16	3266.95
K01995	NA	NA	10732.6	7094.4	NA	NA	6485.21
K02005	NA	NA	NA	3394.13	2803.46	NA	NA
K02012	NA	10276.1	NA	NA	NA	6174.55	7461.37
K02030	8827.82	11004.2	13962.6	NA	21191.7	NA	9021.7
K02051	NA	NA	NA	NA	NA	1801.02	NA
K02071	NA	NA	NA	10375.8	NA	NA	NA
K02078	79443.4	23423	12136	27540	NA	43894.8	24792.9
K02111	300926.5	252677.95	141343.8	221154.3	210565.8	27856.8	212498.5
K02112	513252	642172.17	492752.4	283723.98	514163.07	191742.25	404340.15
K02117	NA	4024.34	NA	5280.89	NA	3740.79	4569.45
K02118	42156.5	33844.6	NA	15617.1	17912.4	32041.3	26424.3
K02132	36105.8	NA	47740.8	38002.9	54131.3	23973	NA
K02190	47637.6	34626.6	21539.5	64738.5	44388.1	18829.4	35098.2
K02338	5087.67	8873.6	4891.83	13241.05	2798.56	6991.19	6830.18
K02355	523009.97	731591.93	416006.89	1334317.48	767505.42	301721.83	380632.73
K02356	8312.59	11184.2	46381.6	13504.8	24502.9	10698.1	13293.3
K02357	NA	125315.43	7577.67	259047.76	15387.25	21705.72	49674.65
K02358	3937647.4	5866571.16	3248144.1	5394336.4	5480726.26	3128283.79	3863314.32
K02390	22260.9	24244	8235.64	99469.9	13375.5	NA	37546
K02406	1271493.4	743231.05	160924.61	894525.8	511893.1	916323.6	989969.84
K02431	99058.1	168754	51073.1	304741	113012	57007.3	69173.2
K02469	NA	34826.6	NA	10637.8	11550.4	33423.3	41277.5
K02470	NA	15651.6	19168.7	NA	41774	9671.52	NA
K02477	4384.88	19980.8	28014.3	5144.07	6525.35	NA	5679.47
K02519	15003.9	59055.8	19520.8	65017	41062.9	28912.2	16125.3
K02520	NA	NA	NA	NA	4773.69	11168.4	NA
K02557	72956.3	81704.8	495262	41436.6	299084	NA	NA
K02564	18034.8	42713.8	84586.9	5461.3	28463.2	8649.93	11661.1
K02600	20331	65278.2	123359	NA	61498.9	NA	NA
K02601	NA	9198.08	3629.65	7741.5	4102.13	NA	2282.39
K02669	11498.5	13227.1	NA	NA	NA	NA	5616.02
K02745	22709.7	94217.4	42815.7	39132.1	145479	1535.56	74793.1
K02796	NA	NA	169612	NA	NA	NA	22992.2
K02804	55845	156658	NA	NA	NA	3565.93	25605.3
K02837	NA	15460.8	12254.9	19411.7	22123.1	12372.1	16290.9
K02838	12880.7	NA	NA	21557.3	NA	2706.6	NA
K02863	172288.2	806594.5	533417.4	133817.8	367384.2	11423.5	76538.1
K02867	292568	403131.94	205957.3	784569.4	549682.87	305552.03	364412.42
K02871	25479.8	747745	426062.3	124852.4	407305	50184.42	62076.6
K02874	42872.3	49486.01	7725.42	137528	NA	32414.08	20903.46
K02876	223397.7	479381.35	690824.54	172102.15	355704.5	54273.77	100454.72
K02878	18206.5	168517	99132.5	14819.8	101263	NA	5272.91
K02881	26914.2	38062.33	4214.9	44140.3	40238.46	47056.59	29579.1
K02884	59681.9	124303	242874	264269	123503	120217	97557.4
K02886	366404.6	704252.73	400563.13	545018.42	1106358.4	139638.19	235784.82
K02888	6026.06	219844	NA	35627.1	NA	35185.6	9929.41
K02890	416328	705133	673843	1548580	650327	369421	464205
K02892	1462.28	NA	NA	NA	NA	10733.8	7993.58
K02895	23494.5	NA	NA	NA	NA	47646.6	26275.1
K02904	65030.2	171697	70535.9	394565	191442.74	70078.1	87812.86
K02906	181325	359144.61	186194.5	224191	218157.9	281595.2	167981.8
K02909	44909.1	59492.8	42439.9	56845.3	NA	NA	23848.9
K02926	45090.3	42059.9	5593.36	118143.6	100534	47854.09	50375.2
K02931	153744.6	300253	229506.02	521270.16	267890.3	286631.6	244025.1
K02933	NA	52484.9	18086.9	121321	51845.9	15322.2	14908.8
K02935	411247.2	926957	200195	325257.3	238541.6	576683	586517.1
K02946	30145.6	75860.6	27451.2	9054.82	11278.2	17062.8	27181.1
K02948	92356.5	21466.2	11688	34995.8	42067.5	NA	23647.47
K02950	752766	1615380	1043358	1048131	2149893	326683	615133
K02952	25687.6	97214.8	24085.7	NA	48322.6	16745.7	18111.43
K02961	4725.51	32326.9	8438.19	68404.8	27670.6	7722.04	7002.12
K02965	91426.2	379481	199534.8	80105.4	199034.5	48648.9	59437.8
K02967	35874.6	114637.9	253404.3	89204.7	164284.3	34621	81342.5
K02970	4073.37	54663.5	49328.5	38764.44	39195.7	7516.04	12897.61
K02982	319176	344369	343408	418919	300276	172036	246310
K02986	111696.4	223931.7	32042.87	471307	195168.7	311312.9	142040.8
K02988	114548.8	291468.8	115995	461752.7	783339	120416.9	181492.2
K02990	NA	NA	16628.9	NA	2193.68	2889.79	2554.91
K02992	191232.8	785135.95	476541.2	293051.04	515503	115517.8	162293.33
K02994	389368.9	649402.9	389116.2	1016112.3	552192.32	126872.04	385849
K02996	37641.8	119769	12118.8	17338.1	77170.7	7132.5	14481.7
K03040	125649	148062.9	122934.7	101412	121376	87909.5	107657
K03043	410886.8	685611	686662.2	237546.48	537990.9	110799.83	313159.68
K03046	405506.24	634598.5	499155.9	595569.3	597962.2	158668.24	369521.4
K03070	97688.3	152023.8	112251	118644.5	107013.4	29399.6	53752.8
K03076	42833.9	40427	44520.7	29641.95	35229.3	NA	15348
K03077	NA	NA	24284.1	18509.2	NA	NA	NA
K03086	NA	4727.31	NA	5322.53	NA	NA	2676.97
K03100	11977.7	85269.2	61926.3	24998.3	56977.6	6418.85	9728.52
K03106	NA	NA	NA	6089.73	5171.43	6110.42	10025.61
K03110	NA	NA	NA	9685.58	NA	NA	NA
K03111	7599.86	8358.31	4093.43	17733.5	7334.92	4825.97	NA
K03147	10632.4	36110.1	39899.3	20678.5	36984.6	NA	17281.3
K03150	NA	6474.49	NA	8686.78	NA	NA	NA
K03168	NA	NA	NA	NA	6266.81	NA	NA
K03218	NA	NA	NA	NA	4623.81	1872.01	1655.88
K03286	24129.5	11885	NA	4459.84	NA	4229.09	13086
K03307	21702.7	NA	NA	NA	NA	NA	26525
K03310	18663.7	19213	19415.4	14792.8	15448.2	NA	11824
K03324	NA	7211.01	9883.72	3197.35	10316.4	NA	NA
K03340	NA	21506.6	NA	27788.9	18675.5	8584.15	NA
K03406	NA	3986.01	NA	1094.53	NA	NA	1965.31
K03431	NA	5503.91	4303.2	1674.56	6776.96	NA	NA
K03442	10533.1	NA	NA	7075.96	NA	2612.89	10976.1
K03521	98631.5	141270.18	328577.4	80578.78	164300.14	12700.9	99040.49
K03530	NA	25826.9	164879	41222	34420.6	16928.3	NA
K03531	173212	266353	126493	121418	131543	12188.7	79126.8
K03545	56935.1	11990	127514	67214.4	60748.1	104431	114740
K03553	20302.9	35718.2	48333.1	19477.7	41445.5	2412.2	20321.1
K03569	58186.6	53382.8	113946	43160.5	64561.8	NA	72202
K03612	7807.54	5412.34	NA	7550.15	NA	1633.42	11853.8
K03615	13482.6	10967.7	8923.65	7890.78	9815	NA	9584.94
K03616	NA	NA	NA	13855.8	5716.15	NA	NA
K03628	6700.9	42659.4	67900.1	14081.15	24981.7	2310.79	19294.61
K03654	8133.94	11674.5	25131.8	5542.27	11186.6	NA	5902.23
K03695	45035.3	107382	185385.9	91300.3	137166.96	50647.89	57657.1
K03696	NA	8272.11	NA	10107.1	NA	NA	NA
K03702	NA	17189.6	NA	17048.6	14847.9	NA	NA
K03704	21283.5	29142.6	51448.2	123853	19457.4	20171.2	14196
K03718	6199.77	8796.97	NA	NA	NA	6668.39	12812.7
K03737	1268177.3	2811718.46	2096040.21	2387869.7	2615914.1	573018.4	1117514.7
K03768	20092.8	31231.6	18673.5	50335.2	32986.8	14309	32418.2
K03770	27814.4	47564.2	13916.7	19223.8	NA	30483	26191
K03816	NA	18824	NA	12993	NA	2259.78	5625.19
K03856	NA	4370.39	NA	4791.41	3133.23	NA	3004.2
K03969	3956.33	NA	NA	12379.3	NA	NA	NA
K03977	NA	NA	NA	NA	NA	NA	4064.69
K03979	NA	4930.94	4844.08	NA	NA	NA	NA
K04042	NA	10068.1	NA	23846.5	10132.7	5086.1	NA
K04043	835059.6	1069106.06	1371968.5	1323781.3	1375200.4	437619.53	821079.96
K04072	168761	293873	154236	179404	428660	129394	217542
K04077	915003.55	812599.77	490207.05	1151336.81	580689.4	149952.82	466104.59
K04079	5296.99	83731.1	43798.1	37685	89258.34	22214.56	27407.1
K04488	31669	37678.7	NA	64831.4	26974.5	14848.9	18015.14
K04567	64596.8	172949.9	159454.9	101015.58	120794.6	21441.29	70089.59
K05349	NA	NA	NA	3162.61	NA	1609.67	1445.17
K06001	45166.7	NA	NA	23780.3	6894.56	7445.34	11119.3
K06023	NA	7971.56	10694.28	51239.7	32439.9	18601.9	13280.8
K06076	NA	16103.1	8425.17	6633.92	10574	NA	NA
K06217	91033.4	78598.4	NA	63487.8	44108.8	14989.7	36382.4
K06871	8555.35	11056.7	11681.6	10295.8	12719.6	6002.85	7587.46
K06901	1819.59	3239.23	NA	3585.48	3838.14	NA	2143.73
K06942	NA	4818.95	4862.67	4357.23	21821.4	NA	NA
K06969	NA	NA	13996.1	NA	1347.91	NA	NA
K07030	4553.89	11192.1	5821	6327.24	7681.55	NA	2086.61
K07056	NA	NA	NA	6354.59	NA	NA	NA
K07080	NA	4490.23	15220.9	NA	NA	NA	NA
K07107	NA	29358.1	46326.9	NA	20619.6	NA	NA
K07166	NA	NA	NA	7836.85	NA	NA	NA
K07263	NA	NA	NA	NA	NA	2794.35	NA
K07335	NA	NA	NA	NA	25343.4	NA	NA
K07390	NA	NA	12533.7	NA	NA	NA	NA
K07576	35485.7	56010.9	31364.9	42416.1	70486.6	9583.66	50997.7
K07775	22106.8	36117.27	25158.3	59533.1	53071.4	32478.9	33685.56
K08301	NA	48738.7	37108.2	NA	29984.2	NA	NA
K08303	2427.42	4935.37	NA	NA	3431.99	NA	NA
K08483	NA	2571.75	NA	9574.43	3950.92	NA	3070.9
K08659	13450.3	8221.73	5040.94	16274.1	9286.27	4925.99	8668.51
K09013	10557	NA	26707.3	15412.5	13069	19137.2	23014.8
K09014	NA	14456.1	15972.4	NA	13762.7	4407.26	NA
K09759	93729.4	95848.6	82992.4	42333.3	161179	NA	53893.9
K09810	NA	47753.3	38575.1	10662.6	19767.6	NA	5555.59
K09955	NA	8209.4	9870.37	NA	6185.24	NA	NA
K10112	NA	112702.36	94318.5	147014	122631	29292.43	134174
K10192	12985.7	4784.43	4030.06	5884.86	16562.7	NA	11950.1
K10200	75144.7	94091.9	55549.5	166747.4	78175.3	NA	112487.7
K10240	45030.5	280342	57562.8	321745	149701.27	7143.33	108337.39
K10254	71700.3	161880.5	50549.6	172936.9	123247.4	16761.82	114758.3
K10441	32309.4	NA	7759.29	94539.7	65635.2	41758	38774.1
K10540	342612	352838	396512	735717	371754	4331.18	382239
K10542	49713.9	234780.4	62934.2	163943.7	70472	36815.2	59250.52
K10672	6576.52	32909.8	5066.79	82992.4	53434.4	NA	25802.1
K10914	NA	NA	123523	NA	NA	NA	NA
K11065	NA	7262.55	NA	NA	NA	NA	NA
K11085	14693.2	33870.2	11957	NA	12540.2	NA	5069.4
K11176	100186	115900.46	17419.9	183631.2	66428.96	81629.05	70798.8
K11755	NA	NA	NA	3642.42	6848.06	NA	NA
K11932	NA	NA	39644.7	NA	NA	NA	NA
K12132	20153.1	13185.9	NA	23401.5	NA	NA	NA
K12373	31722.9	38488.5	12018.8	35156.64	NA	68368	68920.73
K12524	33540.5	97361.9	101893	30627	74026.4	4407.4	16613.8
K12573	NA	20810.1	25630.8	NA	15805.6	NA	NA
K12574	26494.8	31466.9	12704.5	32525.83	25479.4	18072.4	30819.7
K13922	NA	NA	NA	NA	NA	9950	4649.73
K14260	NA	NA	NA	24353	NA	NA	NA
K14534	11235.2	14190.2	18730.7	6061.43	23100.3	5440.23	12365.8
K15533	NA	31323.9	18722.35	58212	15656.3	16314.63	28548.34
K15580	NA	NA	NA	40826.6	NA	34372.7	45818.4
K15633	15440.3	98765.7	78890.2	48484	99775.8	20314.1	15306.6
K15986	NA	NA	NA	4917.06	NA	NA	NA
K16150	NA	14331.6	10645.2	NA	6838.66	NA	NA
K16212	NA	11889.2	NA	NA	NA	NA	20390.6
K16370	10567.5	26678.5	15965.7	6775.68	46818	NA	21534.5
K17318	11300.4	NA	NA	NA	NA	NA	4970.57
K18118	NA	20481.4	NA	NA	NA	NA	17915.2
K18119	17917.6	31338.3	8766.96	33401.9	31049.6	NA	32924.5
K18139	NA	10998.7	NA	NA	NA	5090.25	6423.13
K18331	NA	NA	NA	NA	NA	1250.85	NA
K18682	80624.9	380415	129360.2	NA	100753	NA	13694.6
K18700	NA	3473.89	6625.31	3778.99	6922.27	NA	2525.66
K19339	62357.8	NA	143635	22922.8	62015.1	3651.35	18753.1
K19802	NA	NA	NA	10953.2	NA	NA	12371.5
K19824	62382.2	108571	115058	31752.6	48118.7	86496.4	71858.4
K20038	5962.9	2645.61	NA	NA	4391.82	2250.22	NA
K20509	71170.5	32708.1	6138.75	31139.8	10446.5	27934.2	62224.8
K21071	48511.11	56306.4	72698.3	72946	72656.33	4781.72	59372.3
K21571	34765.4	NA	NA	140363	292539	1211.29	17968.8
K21572	98368.7	12913.5	11543.4	167995.68	208768.8	60859.56	89296.2
K21573	49488.8	22248.5	NA	99440.7	150996	NA	57606.9
K21574	147776.9	180972.9	3973120	73611.8	133690.6	50725.4	157854.4
K21636	13665.1	29686.8	33911.9	18967.3	17514.7	NA	9098.87
K22339	NA	18569.5	7296.72	61787.8	27241	6606.33	4379.55
K22373	NA	12298.3	NA	28048.4	29754.4	11106.9	NA
K25674	7534.65	NA	NA	13527.1	10173	NA	16144.3
K25950	NA	NA	1683.91	NA	6531.68	5221.69	NA
K26113	NA	NA	NA	7081.56	11468.7	5778.51	NA
K27266	NA	NA	NA	NA	NA	6618.7	6433.9
